variable_madre_id,cuenta_puc,concepto_src,indicador(es)_que_la_usan,fuente_esperada,tipo_variable,formula_calculo,tipo_dato,valores_posibles,regla_diseno,requerimiento_id
efectivo_y_equivalentes,Efectivo_y_equivalentes_de_efectivo (200),b_efectivo,1 | 2 | 3 | 4 | 5 | 23 | 38 | 39 | 50 | 51 | 53 | 56,estados,primaria,,cuantitativo,,,REQ-EFECTIVO_Y_EQUIVALENTES
inversiones,Inversiones,b_inversiones,1 | 2 | 4 | 5 | 23 | 39,estados,primaria,,cuantitativo,,,REQ-INVERSIONES
cuentas_por_cobrar,Cuentas_por_cobrar,b_cuentas_por_cobrar,1 | 2 | 4 | 5 | 17 | 18 | 23 | 38 | 39 | 42 | 50 | 51 | 53,estados,primaria,,cuantitativo,,,REQ-CUENTAS_POR_COBRAR
impuestos,pendiente,b_impuesto_corriente_activo,1 | 2 | 4 | 5 | 23 | 39,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS
impuestos_diferidos,pendiente,b_impuesto_diferido_activo,16,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS_DIFERIDOS
otros_activos,pendiente,b_otros_activos_no_financieros,1 | 2 | 4 | 5 | 23 | 38 | 39 | 45 | 50 | 51 | 53,estados,primaria,,cuantitativo,,,REQ-OTROS_ACTIVOS
activos_fijos,pendiente,b_propiedades_planta_equipo,16 | 47 | 51 | 53,estados,primaria,,cuantitativo,,,REQ-ACTIVOS_FIJOS
arrendamientos,pendiente,b_derecho_uso_activo,16 | 49 | 51 | 53,estados,primaria,,cuantitativo,,,REQ-ARRENDAMIENTOS
intangibles,pendiente,b_activos_intangibles,16 | 48 | 49 | 51 | 53,estados,primaria,,cuantitativo,,,REQ-INTANGIBLES
activo_total,Activo_total (1000),b_activo_total,5 | 6 | 8 | 10 | 11 | 13 | 15 | 31 | 61 | 63 | 64 | 65,estados,primaria,,cuantitativo,,,REQ-ACTIVO_TOTAL
cuentas_por_pagar,Cuentas_por_pagar,b_cuentas_por_pagar,1 | 2 | 3 | 4 | 5 | 12 | 23 | 38 | 39 | 44 | 50 | 51 | 53,estados,primaria,,cuantitativo,,,REQ-CUENTAS_POR_PAGAR
arrendamientos,pendiente,b_derecho_uso_pasivo,8 | 9 | 33 | 34 | 35 | 54 | 55 | 56,estados,primaria,,cuantitativo,,,REQ-ARRENDAMIENTOS
obligaciones_laborales,pendiente,b_beneficios_empleados,1 | 2 | 3 | 4 | 5 | 12 | 23 | 39,estados,primaria,,cuantitativo,,,REQ-OBLIGACIONES_LABORALES
provisiones,pendiente,b_provisiones,,estados,primaria,,cuantitativo,,,REQ-PROVISIONES
impuestos,Impuestos_por_pagar,b_impuesto_corriente_pasivo,1 | 2 | 3 | 4 | 5 | 12 | 23 | 39,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS
impuestos_diferidos,pendiente,b_impuesto_diferido_pasivo,,estados,primaria,,cuantitativo,,,REQ-IMPUESTOS_DIFERIDOS
otros_pasivos,pendiente,b_otros_pasivos_no_financieros,1 | 2 | 3 | 4 | 5 | 12 | 23 | 38 | 39 | 46 | 50 | 51 | 53,estados,primaria,,cuantitativo,,,REQ-OTROS_PASIVOS
pasivo_total,Pasivo_total (2000),b_pasivo_total,6 | 7 | 12 | 13 | 14,estados,primaria,,cuantitativo,,,REQ-PASIVO_TOTAL
capital_social,pendiente,b_capital_suscrito,33 | 34 | 35,estados,primaria,,cuantitativo,,,REQ-CAPITAL_SOCIAL
capital_social,pendiente,b_prima_colocacion,,estados,primaria,,cuantitativo,,,REQ-CAPITAL_SOCIAL
reservas_patrimoniales,pendiente,b_reservas,,estados,primaria,,cuantitativo,,,REQ-RESERVAS_PATRIMONIALES
utilidad_neta,pendiente,b_utilidad_periodo,,estados,primaria,,cuantitativo,,,REQ-UTILIDAD_NETA
