id_indicador,clasificacion,indicador,formula,carpeta_powerbi,unidad
1,Liquidez,Razon corriente,Activo corriente / Pasivo corriente,Efectivo & Liquidez,ratio
2,Liquidez,Prueba acida,(Activo corriente - Inventarios) / Pasivo corriente,Efectivo & Liquidez,ratio
3,Liquidez,Razon de efectivo,Efectivo y equivalentes de efectivo / Pasivo corriente,Efectivo & Liquidez,ratio
4,Liquidez,Capital de trabajo neto,Activo corriente - Pasivo corriente,Efectivo & Liquidez,moneda
5,Liquidez,Capital de trabajo / Activos,Capital de trabajo neto / Activo total,Efectivo & Liquidez,ratio
6,Endeudamiento y solvencia,Endeudamiento total,Pasivo total / Activo total,Estructura & Riesgo,ratio
7,Endeudamiento y solvencia,Endeudamiento patrimonial,Pasivo total / Patrimonio,Estructura & Riesgo,ratio
8,Endeudamiento y solvencia,Deuda financiera / Activos,Deuda financiera / Activo total,Estructura & Riesgo,ratio
9,Endeudamiento y solvencia,Deuda financiera / Patrimonio,Deuda financiera / Patrimonio,Estructura & Riesgo,ratio
10,Endeudamiento y solvencia,Autonomia financiera,Patrimonio / Activo total,Estructura & Riesgo,ratio
11,Endeudamiento y solvencia,Apalancamiento financiero,Activo total / Patrimonio,Estructura & Riesgo,ratio
12,Endeudamiento y solvencia,Calidad de la deuda,Pasivo corriente / Pasivo total,Estructura & Riesgo,ratio
13,Endeudamiento y solvencia,Solvencia total,Activo total / Pasivo total,Estructura & Riesgo,ratio
14,Endeudamiento y solvencia,Pasivo / Capital,Pasivo total / (Pasivo total + Patrimonio),Estructura & Riesgo,ratio
15,Actividad y eficiencia,Rotacion de activos totales,Ingresos / ((Activo total actual + Activo total anterior) / 2),Estructura & Riesgo,ratio
16,Actividad y eficiencia,Rotacion de activos fijos,Ingresos / ((Activo no corriente actual + anterior) / 2),Estructura & Riesgo,ratio
17,Actividad y eficiencia,Rotacion de cuentas por cobrar,Ingresos / ((Cuentas por cobrar actual + anterior) / 2),Estructura & Riesgo,ratio
18,Actividad y eficiencia,Periodo medio de cobro,365 / Rotacion de cuentas por cobrar,Estructura & Riesgo,ratio
19,Actividad y eficiencia,Rotacion de inventarios,Costo de ventas / ((Inventarios actual + anterior) / 2),Estructura & Riesgo,ratio
20,Actividad y eficiencia,Dias de inventario,365 / Rotacion de inventarios,Estructura & Riesgo,ratio
21,Actividad y eficiencia,Rotacion de cuentas por pagar,Compras a credito / ((Cuentas por pagar actual + anterior) / 2),Estructura & Riesgo,ratio
22,Actividad y eficiencia,Periodo medio de pago,365 / Rotacion de cuentas por pagar,Estructura & Riesgo,ratio
23,Actividad y eficiencia,Rotacion del capital de trabajo,Ingresos / ((CT actual + CT anterior) / 2),Estructura & Riesgo,ratio
24,Actividad y eficiencia,EBITDA,Resultado operativo antes de intereses e impuestos + Depreciacion + Amortizacion,Estructura & Riesgo,moneda
25,Rentabilidad,Resultado operativo antes de intereses e impuestos (EBIT),Ingresos - Costo de ventas - Gastos Generales - Otros gastos operacionales + Otros ingresos operacionales,Rentabilidad & EVA,moneda
26,Rentabilidad,Margen bruto,Utilidad bruta / Ingresos,Rentabilidad & EVA,porcentaje
27,Rentabilidad,Margen operativo,EBIT / Ingresos,Rentabilidad & EVA,porcentaje
28,Rentabilidad,Margen EBITDA,EBITDA / Ingresos,Rentabilidad & EVA,porcentaje
29,Rentabilidad,Margen antes de impuestos,Utilidad antes de impuestos / Ingresos,Rentabilidad & EVA,porcentaje
30,Rentabilidad,Margen neto,Utilidad neta / Ingresos,Rentabilidad & EVA,porcentaje
31,Rentabilidad,ROA,Utilidad neta / ((Activo total actual + anterior) / 2),Rentabilidad & EVA,ratio
32,Rentabilidad,ROE,Utilidad neta / ((Patrimonio actual + anterior) / 2),Rentabilidad & EVA,ratio
33,Rentabilidad,Capital invertido,Capital Suscrito y Pagado + Obligaciones Financieras,Rentabilidad & EVA,moneda
34,Rentabilidad,ROIC,Utilidad operativa despues de impuestos / ((Capital invertido actual + anterior) / 2),Rentabilidad & EVA,ratio
35,Rentabilidad,Rendimiento sobre capital total,UODI / ((Capital empleado actual + anterior) / 2),Rentabilidad & EVA,ratio
36,Capital de trabajo y ciclo,Ciclo operativo,Dias de inventario + Dias de cartera,Efectivo & Liquidez,dias
