periodo,concepto,valor
2020,b_activo_corriente,148465.0
2021,b_activo_corriente,153751.0
2022,b_activo_corriente,143656.0
2023,b_activo_corriente,125397.0
2024,b_activo_corriente,115027.0
2025,b_activo_corriente,173398.0
2020,b_activo_no_corriente,100637.0
2021,b_activo_no_corriente,77960.0
2022,b_activo_no_corriente,93039.0
2023,b_activo_no_corriente,76951.0
2024,b_activo_no_corriente,109527.0
2025,b_activo_no_corriente,119190.0
2020,b_activo_total,249102.0
2021,b_activo_total,231711.0
2022,b_activo_total,236695.0
2023,b_activo_total,202348.0
2024,b_activo_total,224554.0
2025,b_activo_total,292588.0
2020,b_pasivo_corriente,19391.0
2021,b_pasivo_corriente,18689.0
2022,b_pasivo_corriente,18390.0
2023,b_pasivo_corriente,25143.0
2024,b_pasivo_corriente,28904.0
2025,b_pasivo_corriente,20720.0
2020,b_pasivo_no_corriente,6132.0
2021,b_pasivo_no_corriente,9304.0
2022,b_pasivo_no_corriente,10913.0
2023,b_pasivo_no_corriente,14560.0
2024,b_pasivo_no_corriente,13687.0
2025,b_pasivo_no_corriente,11861.0
2020,b_pasivo_total,25523.0
2021,b_pasivo_total,27993.0
2022,b_pasivo_total,29303.0
2023,b_pasivo_total,39703.0
2024,b_pasivo_total,42591.0
2025,b_pasivo_total,32581.0
2020,b_patrimonio_total,223579.0
2021,b_patrimonio_total,203718.0
2022,b_patrimonio_total,207392.0
2023,b_patrimonio_total,162645.0
2024,b_patrimonio_total,181963.0
2025,b_patrimonio_total,260007.0
2020,r_costo_de_ventas,39902.0
2021,r_costo_de_ventas,52724.0
2022,r_costo_de_ventas,46893.0
2023,r_costo_de_ventas,37642.0
2024,r_costo_de_ventas,44603.0
2025,r_costo_de_ventas,51377.0
2020,r_gastos_operacionales,8779.0
2021,r_gastos_operacionales,12731.0
2022,r_gastos_operacionales,10645.0
2023,r_gastos_operacionales,10188.0
2024,r_gastos_operacionales,7823.0
2025,r_gastos_operacionales,11099.0
2020,r_impuestos,2422.0
2021,r_impuestos,2989.0
2022,r_impuestos,2798.0
2023,r_impuestos,2759.0
2024,r_impuestos,1936.0
2025,r_impuestos,2870.0
2020,r_ingresos_operacionales,71830.0
2021,r_ingresos_operacionales,77154.0
2022,r_ingresos_operacionales,72820.0
2023,r_ingresos_operacionales,61451.0
2024,r_ingresos_operacionales,62124.0
2025,r_ingresos_operacionales,81771.0
2020,r_utilidad_bruta,31928.0
2021,r_utilidad_bruta,24430.0
2022,r_utilidad_bruta,25927.0
2023,r_utilidad_bruta,23809.0
2024,r_utilidad_bruta,17521.0
2025,r_utilidad_bruta,30394.0
2020,r_utilidad_neta,23149.0
2021,r_utilidad_neta,11699.0
2022,r_utilidad_neta,15282.0
2023,r_utilidad_neta,13621.0
2024,r_utilidad_neta,9698.0
2025,r_utilidad_neta,19295.0
