periodo,id_indicador,valor
2020,1,4.176254
2021,1,4.529149
2022,1,4.741014
2023,1,4.353811
2024,1,4.834297
2025,1,5.135074
2020,2,1.362167
2021,2,1.524322
2022,2,1.659793
2023,2,2.003502
2024,2,2.237536
2025,2,1.84789
2020,3,2.400477
2021,3,1.922438
2022,3,2.308994
2023,3,2.915568
2024,3,2.916844
2025,3,3.28455
2020,4,3.692217
2021,4,3.82242
2022,4,3.89056
2023,4,4.056434
2024,4,4.15158
2025,4,4.794181
2020,5,3.51916
2021,5,3.866724
2022,5,3.471213
2023,5,3.675689
2024,5,3.804764
2025,5,4.384855
2020,6,0.631793
2021,6,0.594522
2022,6,0.594564
2023,6,0.712385
2024,6,0.692305
2025,6,0.720279
2020,7,0.379415
2021,7,0.407904
2022,7,0.361156
2023,7,0.475719
2024,7,0.385869
2025,7,0.477926
2020,8,0.644511
2021,8,0.80085
2022,8,0.739214
2023,8,0.856106
2024,8,0.903653
2025,8,0.842437
2020,9,0.518622
2021,9,0.57765
2022,9,0.665837
2023,9,0.699406
2024,9,0.71467
2025,9,0.735504
2020,10,0.442543
2021,10,0.388975
2022,10,0.464201
2023,10,0.458943
2024,10,0.460979
2025,10,0.499479
2020,11,0.343519
2021,11,0.492399
2022,11,0.426921
2023,11,0.480025
2024,11,0.520189
2025,11,0.545009
2020,12,0.476044
2021,12,0.570572
2022,12,0.626764
2023,12,0.65718
2024,12,0.678909
2025,12,0.60091
2020,13,0.743181
2021,13,0.847482
2022,13,0.85845
2023,13,0.859464
2024,13,0.953165
2025,13,0.935676
2020,14,0.338512
2021,14,0.423842
2022,14,0.339873
2023,14,0.471781
2024,14,0.508302
2025,14,0.41354
2020,15,2.158251
2021,15,2.103269
2022,15,2.201542
2023,15,2.592311
2024,15,2.66836
2025,15,2.505259
2020,16,0.187353
2021,16,0.332023
2022,16,0.438184
2023,16,0.153604
2024,16,0.156539
2025,16,0.208185
2020,17,2.68658
2021,17,3.158003
2022,17,3.38591
2023,17,2.893818
2024,17,3.035101
2025,17,3.551593
2020,18,2.626988
2021,18,2.605653
2022,18,2.534049
2023,18,3.194429
2024,18,3.166149
2025,18,3.453518
2020,19,2.424159
2021,19,2.538993
2022,19,2.479247
2023,19,2.656577
2024,19,3.332402
2025,19,3.094436
2020,20,2.739523
2021,20,2.90043
2022,20,2.69602
2023,20,2.924094
2024,20,3.316266
2025,20,3.016367
2020,21,0.983372
2021,21,1.320845
2022,21,0.876498
2023,21,1.508413
2024,21,1.365745
2025,21,1.370977
2020,22,0.882984
2021,22,0.883234
2022,22,1.231382
2023,22,0.822376
2024,22,1.315551
2025,22,1.160857
2020,23,1.667207
2021,23,2.219482
2022,23,2.547167
2023,23,2.204304
2024,23,2.568387
2025,23,2.256473
2020,24,2.487876
2021,24,3.073244
2022,24,2.7679
2023,24,2.938946
