concepto,rotulo,estado,clasificacion,2020,2021,2022,2023,2024,2025
b_efectivo,Efectivo y equivalentes,balance,activo_corriente,43925.0,20991.0,20559.0,27333.0,47069.0,46020.0
b_inversiones,Inversiones,balance,activo_corriente,225836.0,242899.0,215524.0,265772.0,181436.0,171695.0
b_cuentas_por_cobrar,Cuentas por cobrar,balance,activo_corriente,40432.0,45704.0,56614.0,43507.0,25431.0,53683.0
b_impuesto_corriente_activo,Impuesto corriente (activo),balance,activo_corriente,6123.0,,,,15235.0,24655.0
b_impuesto_diferido_activo,Impuesto diferido (activo),balance,activo_no_corriente,,1343.0,8963.0,2766.0,9071.0,11609.0
b_otros_activos_no_financieros,Otros activos no financieros,balance,activo_corriente,1767.0,2812.0,3317.0,4136.0,4772.0,5131.0
b_propiedades_planta_equipo,Propiedades y equipo,balance,activo_no_corriente,17657.0,16302.0,18183.0,18178.0,17700.0,21834.0
b_derecho_uso_activo,Derecho de uso (activo),balance,activo_no_corriente,8820.0,6641.0,5135.0,5180.0,5026.0,4288.0
b_activos_intangibles,Activos intangibles,balance,activo_no_corriente,14445.0,11594.0,6528.0,9112.0,9220.0,9214.0
b_activo_total,Total activos,balance,,359005.0,348286.0,334823.0,375984.0,314960.0,348129.0
b_cuentas_por_pagar,Cuentas por pagar,balance,pasivo_corriente,28371.0,32271.0,27417.0,35040.0,21184.0,18123.0
b_derecho_uso_pasivo,Derecho de uso (pasivo),balance,pasivo_no_corriente,9689.0,7767.0,6207.0,6331.0,6117.0,5306.0
b_beneficios_empleados,Beneficios a empleados,balance,pasivo_corriente,5102.0,3189.0,4084.0,4487.0,5094.0,8461.0
b_provisiones,Provisiones,balance,pasivo_no_corriente,13111.0,16413.0,22130.0,23651.0,23286.0,22464.0
b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),balance,pasivo_corriente,,2276.0,7978.0,8231.0,,
b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),balance,pasivo_no_corriente,6581.0,,,,,
b_otros_pasivos_no_financieros,Otros pasivos no financieros,balance,pasivo_corriente,3151.0,3482.0,3682.0,4595.0,4422.0,5941.0
b_pasivo_total,Total pasivos,balance,,66005.0,65398.0,71498.0,82335.0,60103.0,60295.0
b_capital_suscrito,Capital suscrito y pagado,balance,,71960.0,71960.0,71960.0,71960.0,71960.0,71960.0
b_prima_colocacion,Prima en colocacion de acciones,balance,,37303.0,37303.0,37303.0,37303.0,37303.0,37303.0
b_reservas,Reservas,balance,,104130.0,105106.0,95866.0,92364.0,102631.0,118595.0
b_utilidad_periodo,Utilidad del periodo,balance,,58220.0,47632.0,36237.0,70126.0,20997.0,30947.0
b_utilidad_ejercicios_anteriores,Utilidad de ejercicios anteriores,balance,,708.0,708.0,708.0,708.0,708.0,708.0
b_efecto_ncif,Efecto NCIF,balance,,14179.0,14179.0,14179.0,14179.0,14179.0,14179.0
b_ori_valorizacion,Ganancias no realizadas (ORI),balance,,6500.0,6000.0,7072.0,7009.0,7079.0,14142.0
b_patrimonio_total,Total patrimonio,balance,,293000.0,282888.0,263325.0,293649.0,254857.0,287834.0
