anio,numero,indicador,clasificacion,formula,valor,estado,motivo,fuente,condicional
2020,1,Razon corriente,Liquidez,Activo corriente / Pasivo corriente,8.6851,OK,Capacidad de pago de corto plazo. Valor 8.6851 dentro de rango normal.,"Práctica estándar: Razon corriente < 1,5 vigilancia; < 1,0 riesgo de liquidez.",NO
2021,1,Razon corriente,Liquidez,Activo corriente / Pasivo corriente,7.57936,OK,Capacidad de pago de corto plazo. Valor 7.57936 dentro de rango normal.,"Práctica estándar: Razon corriente < 1,5 vigilancia; < 1,0 riesgo de liquidez.",NO
2022,1,Razon corriente,Liquidez,Activo corriente / Pasivo corriente,6.85837,OK,Capacidad de pago de corto plazo. Valor 6.85837 dentro de rango normal.,"Práctica estándar: Razon corriente < 1,5 vigilancia; < 1,0 riesgo de liquidez.",NO
2023,1,Razon corriente,Liquidez,Activo corriente / Pasivo corriente,6.50866,OK,Capacidad de pago de corto plazo. Valor 6.50866 dentro de rango normal.,"Práctica estándar: Razon corriente < 1,5 vigilancia; < 1,0 riesgo de liquidez.",NO
2024,1,Razon corriente,Liquidez,Activo corriente / Pasivo corriente,8.92322,OK,Capacidad de pago de corto plazo. Valor 8.92322 dentro de rango normal.,"Práctica estándar: Razon corriente < 1,5 vigilancia; < 1,0 riesgo de liquidez.",NO
2025,1,Razon corriente,Liquidez,Activo corriente / Pasivo corriente,9.26008,OK,Capacidad de pago de corto plazo. Valor 9.26008 dentro de rango normal.,"Práctica estándar: Razon corriente < 1,5 vigilancia; < 1,0 riesgo de liquidez.",NO
2020,2,Prueba acida,Liquidez,(Activo corriente - Inventarios) / Pasivo corriente,8.6851,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad (servicios sin inventarios). Prueba ácida (sin inventarios es idéntica a Razon corriente). Valor 8.6851 dentro de rango normal.,Empresa de servicios sin inventarios: la razón coincide con Razon corriente (validado por el usuario).,SI
2021,2,Prueba acida,Liquidez,(Activo corriente - Inventarios) / Pasivo corriente,7.57936,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad (servicios sin inventarios). Prueba ácida (sin inventarios es idéntica a Razon corriente). Valor 7.57936 dentro de rango normal.,Empresa de servicios sin inventarios: la razón coincide con Razon corriente (validado por el usuario).,SI
2022,2,Prueba acida,Liquidez,(Activo corriente - Inventarios) / Pasivo corriente,6.85837,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad (servicios sin inventarios). Prueba ácida (sin inventarios es idéntica a Razon corriente). Valor 6.85837 dentro de rango normal.,Empresa de servicios sin inventarios: la razón coincide con Razon corriente (validado por el usuario).,SI
2023,2,Prueba acida,Liquidez,(Activo corriente - Inventarios) / Pasivo corriente,6.50866,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad (servicios sin inventarios). Prueba ácida (sin inventarios es idéntica a Razon corriente). Valor 6.50866 dentro de rango normal.,Empresa de servicios sin inventarios: la razón coincide con Razon corriente (validado por el usuario).,SI
2024,2,Prueba acida,Liquidez,(Activo corriente - Inventarios) / Pasivo corriente,8.92322,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad (servicios sin inventarios). Prueba ácida (sin inventarios es idéntica a Razon corriente). Valor 8.92322 dentro de rango normal.,Empresa de servicios sin inventarios: la razón coincide con Razon corriente (validado por el usuario).,SI
2025,2,Prueba acida,Liquidez,(Activo corriente - Inventarios) / Pasivo corriente,9.26008,NO_APLICA_TIPO_ENTIDAD,Condicional por tipo de entidad (servicios sin inventarios). Prueba ácida (sin inventarios es idéntica a Razon corriente). Valor 9.26008 dentro de rango normal.,Empresa de servicios sin inventarios: la razón coincide con Razon corriente (validado por el usuario).,SI
2020,3,Razon de efectivo,Liquidez,Efectivo y equivalentes de efectivo / Pasivo corriente,1.19935,OK,Cobertura inmediata de pasivos con caja. Valor 1.19935 dentro de rango normal.,"Screening de caja: < 0,30 vigilancia; < 0,20 dependencia de ingresos futuros.",NO
2021,3,Razon de efectivo,Liquidez,Efectivo y equivalentes de efectivo / Pasivo corriente,0.509268,OK,Cobertura inmediata de pasivos con caja. Valor 0.509268 dentro de rango normal.,"Screening de caja: < 0,30 vigilancia; < 0,20 dependencia de ingresos futuros.",NO
