grupo,check,anio,formula,izquierda,derecha,diferencia_abs,diferencia_rel,estado
A_Ecuacion_Patrimonial,Activo = Pasivo + Patrimonio,2020,b_activo_total = b_pasivo_total + b_patrimonio_total,359005.0,359005.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Activo = Pasivo + Patrimonio,2021,b_activo_total = b_pasivo_total + b_patrimonio_total,348286.0,348286.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Activo = Pasivo + Patrimonio,2022,b_activo_total = b_pasivo_total + b_patrimonio_total,334823.0,334823.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Activo = Pasivo + Patrimonio,2023,b_activo_total = b_pasivo_total + b_patrimonio_total,375984.0,375984.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Activo = Pasivo + Patrimonio,2024,b_activo_total = b_pasivo_total + b_patrimonio_total,314960.0,314960.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Activo = Pasivo + Patrimonio,2025,b_activo_total = b_pasivo_total + b_patrimonio_total,348129.0,348129.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Total pasivo y patrimonio = Activo,2020,b_total_pasivo_patrimonio = b_activo_total,359005.0,359005.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Total pasivo y patrimonio = Activo,2021,b_total_pasivo_patrimonio = b_activo_total,348286.0,348286.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Total pasivo y patrimonio = Activo,2022,b_total_pasivo_patrimonio = b_activo_total,334823.0,334823.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Total pasivo y patrimonio = Activo,2023,b_total_pasivo_patrimonio = b_activo_total,375984.0,375984.0,0.0,0.0,ACEPTADO
A_Ecuacion_Patrimonial,Total pasivo y patrimonio = Activo,2024,b_total_pasivo_patrimonio = b_activo_total,314960.0,314960.0,0.0,0.0,ACEPTADO
