periodo,concepto,valor
2020,b_activo_total,359005.0
2021,b_activo_total,348286.0
2022,b_activo_total,334823.0
2023,b_activo_total,375984.0
2024,b_activo_total,314960.0
2025,b_activo_total,348129.0
2020,b_activos_intangibles,14445.0
2021,b_activos_intangibles,11594.0
2022,b_activos_intangibles,6528.0
2023,b_activos_intangibles,9112.0
2024,b_activos_intangibles,9220.0
2025,b_activos_intangibles,9214.0
2020,b_beneficios_empleados,5102.0
2021,b_beneficios_empleados,3189.0
2022,b_beneficios_empleados,4084.0
2023,b_beneficios_empleados,4487.0
2024,b_beneficios_empleados,5094.0
2025,b_beneficios_empleados,8461.0
2020,b_capital_suscrito,71960.0
2021,b_capital_suscrito,71960.0
2022,b_capital_suscrito,71960.0
2023,b_capital_suscrito,71960.0
2024,b_capital_suscrito,71960.0
2025,b_capital_suscrito,71960.0
2020,b_cuentas_por_cobrar,40432.0
2021,b_cuentas_por_cobrar,45704.0
2022,b_cuentas_por_cobrar,56614.0
2023,b_cuentas_por_cobrar,43507.0
2024,b_cuentas_por_cobrar,25431.0
2025,b_cuentas_por_cobrar,53683.0
2020,b_cuentas_por_pagar,28371.0
2021,b_cuentas_por_pagar,32271.0
2022,b_cuentas_por_pagar,27417.0
2023,b_cuentas_por_pagar,35040.0
2024,b_cuentas_por_pagar,21184.0
2025,b_cuentas_por_pagar,18123.0
2020,b_derecho_uso_activo,8820.0
2021,b_derecho_uso_activo,6641.0
2022,b_derecho_uso_activo,5135.0
2023,b_derecho_uso_activo,5180.0
2024,b_derecho_uso_activo,5026.0
2025,b_derecho_uso_activo,4288.0
2020,b_derecho_uso_pasivo,9689.0
2021,b_derecho_uso_pasivo,7767.0
2022,b_derecho_uso_pasivo,6207.0
2023,b_derecho_uso_pasivo,6331.0
2024,b_derecho_uso_pasivo,6117.0
2025,b_derecho_uso_pasivo,5306.0
2020,b_efectivo,43925.0
2021,b_efectivo,20991.0
2022,b_efectivo,20559.0
2023,b_efectivo,27333.0
2024,b_efectivo,47069.0
2025,b_efectivo,46020.0
2020,b_efecto_ncif,14179.0
2021,b_efecto_ncif,14179.0
2022,b_efecto_ncif,14179.0
2023,b_efecto_ncif,14179.0
2024,b_efecto_ncif,14179.0
2025,b_efecto_ncif,14179.0
2020,b_impuesto_corriente_activo,6123.0
2021,b_impuesto_corriente_activo,
2022,b_impuesto_corriente_activo,
2023,b_impuesto_corriente_activo,
2024,b_impuesto_corriente_activo,15235.0
2025,b_impuesto_corriente_activo,24655.0
2020,b_impuesto_corriente_pasivo,
2021,b_impuesto_corriente_pasivo,2276.0
2022,b_impuesto_corriente_pasivo,7978.0
2023,b_impuesto_corriente_pasivo,8231.0
2024,b_impuesto_corriente_pasivo,
