periodo,concepto,rotulo,documento_origen,estado_financiero,pagina,nota,evidencia_linea,valor_pdf,valor_consolidado,coincide,estado,confianza
2020,b_efectivo,Efectivo y equivalentes,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Efectivo 7 $ 20.991 $ 43.925,43925.0,43925.0,True,ACEPTADO,ALTA
2021,b_efectivo,Efectivo y equivalentes,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Efectivo 7 $ 20.991 $ 43.925,20991.0,20991.0,True,ACEPTADO,ALTA
2022,b_efectivo,Efectivo y equivalentes,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Efectivo y equivalentes de efectivo 7 $ 20.559 $ 20.991,20559.0,20559.0,True,ACEPTADO,ALTA
2023,b_efectivo,Efectivo y equivalentes,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Efectivo y equivalentes de efectivo 7 $ 27.333 $ 20.559,27333.0,27333.0,True,ACEPTADO,ALTA
2024,b_efectivo,Efectivo y equivalentes,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,Efectivo y equivalentes de efectivo 7 $ 47.069 $ 27.333,47069.0,47069.0,True,ACEPTADO,ALTA
2025,b_efectivo,Efectivo y equivalentes,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,Efectivo y equivalentes de efectivo 7 $ 46.020 $ 47.069,46020.0,46020.0,True,ACEPTADO,ALTA
2020,b_inversiones,Inversiones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Inversiones, neto 8 242.899 225.836",225836.0,225836.0,True,ACEPTADO,ALTA
2021,b_inversiones,Inversiones,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Inversiones, neto 8 242.899 225.836",242899.0,242899.0,True,ACEPTADO,ALTA
2022,b_inversiones,Inversiones,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Inversiones, neto 8 215.524 242.899",215524.0,215524.0,True,ACEPTADO,ALTA
2023,b_inversiones,Inversiones,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1.0,,"Inversiones, neto 8 265.772 215.524",265772.0,265772.0,True,ACEPTADO,ALTA
2024,b_inversiones,Inversiones,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2.0,,"Inversiones, neto 8 181.436 265.772",181436.0,181436.0,True,ACEPTADO,ALTA
