periodo,id_indicador,valor
2020,1,8.685097204019222
2021,1,7.579358532679898
2022,1,6.858367507703714
2023,1,6.508662349817585
2024,1,8.923224755700327
2025,1,9.260076863950808
2020,2,8.685097204019222
2021,2,7.579358532679898
2022,2,6.858367507703714
2023,2,6.508662349817585
2024,2,8.923224755700327
2025,2,9.260076863950808
2020,3,1.1993501529051989
2021,3,0.5092677956232714
2022,3,0.476332800444846
2023,3,0.5220904246175004
2024,3,1.5331921824104235
2025,3,1.414911606456572
2020,4,281459.0
2021,4,271188.0
2022,4,252853.0
2023,4,288395.0
2024,4,243243.0
2025,4,268659.0
2020,5,0.7839974373615967
2021,5,0.7786359486169413
2022,5,0.7551840823360403
2023,5,0.7670406187497341
2024,5,0.7722980695961392
2025,5,0.7717225511232905
2020,6,0.1838553780588014
2021,6,0.1877709698351355
2022,6,0.213539691120383
2023,6,0.218985382356696
2024,6,0.1908274066548133
2025,6,0.1731972918084962
2020,7,0.2252730375426621
2021,7,0.2311798308871355
2022,7,0.2715199848096459
2023,7,0.2803857666806289
2024,7,0.2358302891425387
2025,7,0.2094783798995254
2020,8,0.0269884820545674
2021,8,0.022300637981429
2022,8,0.0185381529942686
2023,8,0.0168384824886165
2024,8,0.0194215138430276
2025,8,0.0152414765790841
2020,9,0.0330682593856655
2021,9,0.027456095698651
2022,9,0.0235716320136713
2023,9,0.0215597533109256
2024,9,0.0240016950682147
2025,9,0.0184342364001473
2020,10,0.8161446219411986
2021,10,0.8122290301648645
2022,10,0.786460308879617
2023,10,0.7810146176433039
2024,10,0.8091725933451867
2025,10,0.8268027081915037
2020,11,1.225273037542662
2021,11,1.2311798308871356
2022,11,1.271519984809646
2023,11,1.2803857666806289
2024,11,1.2358302891425388
2025,11,1.2094783798995254
2020,12,0.5548670555260965
2021,12,0.6302639224441114
2022,12,0.6036672354471454
2023,12,0.6358535252322828
2024,12,0.5107898108247508
2025,12,0.5394311302761423
2020,13,5.439057647147943
2021,13,5.325636869629041
2022,13,4.682970153011273
2023,13,4.566514847877573
2024,13,5.240337420761027
2025,13,5.773762335185339
2020,14,0.1838553780588014
2021,14,0.1877709698351355
2022,14,0.213539691120383
2023,14,0.218985382356696
2024,14,0.1908274066548133
2025,14,0.1731972918084962
2020,15,
2021,15,0.5775868772541994
2022,15,0.6440729078375487
2023,15,0.6216989984623111
2024,15,0.6563542052612078
2025,15,0.786630452322388
2020,16,
2021,16,5.319158355251165
2022,16,5.890720186372826
2023,16,5.96810047943818
2024,16,5.947359448152859
2025,16,5.929901548395899
2020,17,
2021,17,4.742755642240178
2022,17,4.300044957876424
2023,17,4.41373937535582
2024,17,6.578432794685079
2025,17,6.59309351063023
2020,18,
2021,18,76.95947831450938
2022,18,84.88283345303793
2023,18,82.6963191433511
2024,18,55.48433971916455
2025,18,55.36096210549725
2020,19,
2021,19,
2022,19,
2023,19,
2024,19,
2025,19,
2020,20,
2021,20,
2022,20,
2023,20,
2024,20,
2025,20,
2020,21,
2021,21,
2022,21,
2023,21,
2024,21,
2025,21,
2020,22,
2021,22,
2022,22,
2023,22,
2024,22,
2025,22,
2020,23,
2021,23,0.7392096582447747
2022,23,0.8395755293956008
2023,23,0.8164612155610736
2024,23,0.853031574116222
2025,23,1.0189567534410884
2020,24,100136.0
2021,24,109478.0
2022,24,108605.0
2023,24,78821.0
2024,24,54269.0
2025,24,71835.0
2020,25,86251.0
2021,25,94982.0
2022,25,92975.0
2023,25,68527.0
2024,25,39454.0
2025,25,55943.0
2020,26,1.0
2021,26,1.0
2022,26,1.0
2023,26,1.0
2024,26,1.0
2025,26,1.0
2020,27,0.4382717304037642
2021,27,0.465003108767704
2022,27,0.4226405316701972
2023,27,0.3101414774115879
2024,27,0.1739962602314422
2025,27,0.2145029006568176
2020,28,0.5088263092104595
2021,28,0.5359711349694753
2022,28,0.4936905075777549
